"Date and Time Run 1","Time (s) Run 1","X Magnetic Field Strength (G) Run 1","Y Magnetic Field Strength (G) Run 1","Z Magnetic Field Strength (G) Run 1","|Resultant| Magnetic Field Strength (G) Run 1","Date and Time Run 2","Time (s) Run 2","X Magnetic Field Strength (G) Run 2","Y Magnetic Field Strength (G) Run 2","Z Magnetic Field Strength (G) Run 2","|Resultant| Magnetic Field Strength (G) Run 2","Date and Time Run 3","Time (s) Run 3","X Magnetic Field Strength (G) Run 3","Y Magnetic Field Strength (G) Run 3","Z Magnetic Field Strength (G) Run 3","|Resultant| Magnetic Field Strength (G) Run 3"
03/10/2025 03:55:36 pm,7.200,-0.0885,-0.308,-0.0555,0.325,03/10/2025 04:33:39 pm,7.200,-0.0825,-0.314,-0.0495,0.328,03/10/2025 04:39:19 pm,7.200,-0.110,-0.362,0.0330,0.379
03/10/2025 03:55:36 pm,7.300,-0.0900,-0.314,-0.0615,0.332,03/10/2025 04:33:39 pm,7.300,-0.0795,-0.312,-0.0450,0.325,03/10/2025 04:39:19 pm,7.300,-0.113,-0.363,0.0300,0.381
03/10/2025 03:55:36 pm,7.400,-0.0930,-0.309,-0.0570,0.328,03/10/2025 04:33:39 pm,7.400,-0.0765,-0.314,-0.0435,0.326,03/10/2025 04:39:19 pm,7.400,-0.116,-0.356,0.0375,0.376
03/10/2025 03:55:36 pm,7.500,-0.0870,-0.309,-0.0600,0.327,03/10/2025 04:33:39 pm,7.500,-0.0780,-0.312,-0.0495,0.325,03/10/2025 04:39:19 pm,7.500,-0.114,-0.360,0.0360,0.379
03/10/2025 03:55:36 pm,7.600,-0.0840,-0.306,-0.0510,0.321,03/10/2025 04:33:39 pm,7.600,-0.0810,-0.309,-0.0450,0.323,03/10/2025 04:39:19 pm,7.600,-0.117,-0.360,0.0315,0.380
03/10/2025 03:55:36 pm,7.700,-0.0855,-0.311,-0.0540,0.327,03/10/2025 04:33:39 pm,7.700,-0.0795,-0.312,-0.0435,0.325,03/10/2025 04:39:19 pm,7.700,-0.111,-0.354,0.0345,0.373
03/10/2025 03:55:36 pm,7.800,-0.0900,-0.311,-0.0570,0.328,03/10/2025 04:33:39 pm,7.800,-0.0810,-0.314,-0.0465,0.327,03/10/2025 04:39:19 pm,7.800,-0.111,-0.360,0.0345,0.378
03/10/2025 03:55:36 pm,7.900,-0.0915,-0.303,-0.0585,0.322,03/10/2025 04:33:39 pm,7.900,-0.0780,-0.311,-0.0450,0.323,03/10/2025 04:39:19 pm,7.900,-0.113,-0.360,0.0345,0.379
03/10/2025 03:55:37 pm,8.000,-0.0840,-0.306,-0.0615,0.323,03/10/2025 04:33:40 pm,8.000,-0.0795,-0.309,-0.0465,0.322,03/10/2025 04:39:20 pm,8.000,-0.114,-0.362,0.0300,0.380
03/10/2025 03:55:37 pm,8.100,-0.0900,-0.314,-0.0540,0.331,03/10/2025 04:33:40 pm,8.100,-0.0840,-0.312,-0.0435,0.326,03/10/2025 04:39:20 pm,8.100,-0.114,-0.360,0.0375,0.379
03/10/2025 03:55:37 pm,8.200,-0.0840,-0.306,-0.0570,0.322,03/10/2025 04:33:40 pm,8.200,-0.0810,-0.309,-0.0420,0.322,03/10/2025 04:39:20 pm,8.200,-0.108,-0.357,0.0330,0.374
03/10/2025 03:55:37 pm,8.300,-0.0870,-0.308,-0.0570,0.325,03/10/2025 04:33:40 pm,8.300,-0.0855,-0.311,-0.0465,0.325,03/10/2025 04:39:20 pm,8.300,-0.114,-0.359,0.0330,0.378
03/10/2025 03:55:37 pm,8.400,-0.0885,-0.309,-0.0540,0.326,03/10/2025 04:33:40 pm,8.400,-0.0795,-0.308,-0.0435,0.321,03/10/2025 04:39:20 pm,8.400,-0.114,-0.368,0.0330,0.386
03/10/2025 03:55:37 pm,8.500,-0.0870,-0.308,-0.0540,0.324,03/10/2025 04:33:40 pm,8.500,-0.0810,-0.314,-0.0465,0.327,03/10/2025 04:39:20 pm,8.500,-0.113,-0.356,0.0270,0.374
03/10/2025 03:55:37 pm,8.600,-0.0870,-0.309,-0.0585,0.326,03/10/2025 04:33:40 pm,8.600,-0.0795,-0.315,-0.0420,0.328,03/10/2025 04:39:20 pm,8.600,-0.111,-0.363,0.0330,0.381
03/10/2025 03:55:37 pm,8.700,-0.0870,-0.309,-0.0570,0.326,03/10/2025 04:33:40 pm,8.700,-0.0810,-0.314,-0.0480,0.327,03/10/2025 04:39:20 pm,8.700,-0.113,-0.362,0.0285,0.380
03/10/2025 03:55:37 pm,8.800,-0.0870,-0.306,-0.0570,0.323,03/10/2025 04:33:40 pm,8.800,-0.0810,-0.312,-0.0435,0.325,03/10/2025 04:39:20 pm,8.800,-0.114,-0.359,0.0330,0.378
03/10/2025 03:55:37 pm,8.900,-0.0870,-0.308,-0.0585,0.325,03/10/2025 04:33:40 pm,8.900,-0.0795,-0.308,-0.0480,0.321,03/10/2025 04:39:20 pm,8.900,-0.113,-0.363,0.0360,0.382
03/10/2025 03:55:38 pm,9.000,-0.0855,-0.309,-0.0540,0.325,03/10/2025 04:33:41 pm,9.000,-0.0810,-0.314,-0.0420,0.327,03/10/2025 04:39:21 pm,9.000,-0.116,-0.363,0.0300,0.382
03/10/2025 03:55:38 pm,9.100,-0.0870,-0.302,-0.0525,0.318,03/10/2025 04:33:41 pm,9.100,-0.0795,-0.314,-0.0480,0.327,03/10/2025 04:39:21 pm,9.100,-0.111,-0.359,0.0315,0.377
03/10/2025 03:55:38 pm,9.200,-0.0900,-0.308,-0.0525,0.325,03/10/2025 04:33:41 pm,9.200,-0.0810,-0.311,-0.0510,0.325,03/10/2025 04:39:21 pm,9.200,-0.114,-0.366,0.0315,0.385
